id,season,episode,key,partners,mentions
190,8,20,Ross & Rachel,Ross & Rachel,1
190,8,20,Monica & Chandler,Monica & Chandler,5
191,8,21,Ross & Rachel,Ross & Rachel,6
191,8,21,Monica & Chandler,Monica & Chandler,3
192,8,22,Ross & Rachel,Ross & Rachel,5
192,8,22,Rachel & Joey,Rachel & Joey,1
192,8,22,Monica & Chandler,Monica & Chandler,4
193,8,23,Ross & Rachel,Ross & Rachel,8
193,8,23,Ross,Ross & Julie,1
193,8,23,Monica & Chandler,Monica & Chandler,3
194,8,24,Ross & Rachel,Ross & Rachel,5
194,8,24,Rachel & Joey,Rachel & Joey,1
194,8,24,Monica & Chandler,Monica & Chandler,3
194,8,24,Chandler,Chandler & Janice,1
195,9,1,Ross & Rachel,Ross & Rachel,6
195,9,1,Rachel & Joey,Rachel & Joey,2
195,9,1,Monica & Chandler,Monica & Chandler,1
196,9,2,Ross & Rachel,Ross & Rachel,9
196,9,2,Rachel & Joey,Rachel & Joey,1
196,9,2,Monica & Chandler,Monica & Chandler,1
197,9,3,Ross & Rachel,Ross & Rachel,4
197,9,3,Monica & Chandler,Monica & Chandler,8
197,9,3,Phoebe,Phoebe & Mike,2
198,9,4,Ross & Rachel,Ross & Rachel,1
198,9,4,Monica & Chandler,Monica & Chandler,2
198,9,4,Phoebe,Phoebe & Mike,3
199,9,5,Ross & Rachel,Ross & Rachel,3
199,9,5,Monica & Chandler,Monica & Chandler,2
200,9,6,Ross & Rachel,Ross & Rachel,6
200,9,6,Rachel & Joey,Rachel & Joey,1
200,9,6,Monica & Chandler,Monica & Chandler,3
200,9,6,Phoebe,Phoebe & David,3
200,9,6,Phoebe,Phoebe & Mike,3
201,9,7,Ross & Rachel,Ross & Rachel,4
201,9,7,Monica & Chandler,Monica & Chandler,4
201,9,7,Monica,Monica & Richard,1
201,9,7,Phoebe,Phoebe & Mike,4
202,9,8,Ross & Rachel,Ross & Rachel,5
202,9,8,Rachel & Joey,Rachel & Joey,1
202,9,8,Monica & Chandler,Monica & Chandler,8
203,9,9,Ross & Rachel,Ross & Rachel,6
203,9,9,Rachel & Joey,Rachel & Joey,2
203,9,9,Monica & Chandler,Monica & Chandler,4
203,9,9,Phoebe,Phoebe & Mike,5
204,9,10,Ross & Rachel,Ross & Rachel,1
204,9,10,Rachel & Joey,Rachel & Joey,2
204,9,10,Monica & Chandler,Monica & Chandler,13
205,9,11,Monica & Chandler,Monica & Chandler,6
206,9,12,Phoebe,Phoebe & Mike,3
207,9,13,Monica & Chandler,Monica & Chandler,3
208,9,14,Ross & Rachel,Ross & Rachel,5
208,9,14,Rachel & Joey,Rachel & Joey,2
208,9,14,Monica & Chandler,Monica & Chandler,5
209,9,15,Monica & Chandler,Monica & Chandler,5
210,9,16,Ross,Ross & Carol,1
210,9,16,Rachel & Joey,Rachel & Joey,3
210,9,16,Monica & Chandler,Monica & Chandler,6
210,9,16,Phoebe,Phoebe & Mike,4
211,9,17,Rachel & Joey,Rachel & Joey,4
211,9,17,Monica & Chandler,Monica & Chandler,3
211,9,17,Phoebe,Phoebe & Mike,1
212,9,18,Ross & Rachel,Ross & Rachel,2
212,9,18,Rachel & Joey,Rachel & Joey,2
212,9,18,Monica & Chandler,Monica & Chandler,3
213,9,19,Rachel & Joey,Rachel & Joey,2
213,9,19,Monica & Chandler,Monica & Chandler,1
214,9,20,Ross,Ross & Charlie,3
214,9,20,Monica & Chandler,Monica & Chandler,3
215,9,21,Ross,Ross & Charlie,2
215,9,21,Rachel & Joey,Rachel & Joey,1
215,9,21,Monica & Chandler,Monica & Chandler,3
215,9,21,Joey,Joey & Charlie,3
216,9,22,Rachel & Joey,Rachel & Joey,2
216,9,22,Monica & Chandler,Monica & Chandler,2
216,9,22,Joey,Joey & Charlie,3
216,9,22,Phoebe,Phoebe & Mike,1
217,9,23,Ross & Rachel,Ross & Rachel,1
217,9,23,Ross,Ross & Charlie,2
217,9,23,Rachel & Joey,Rachel & Joey,2
217,9,23,Monica & Chandler,Monica & Chandler,4
217,9,23,Monica,Monica & Richard,1
217,9,23,Phoebe,Phoebe & David,10
217,9,23,Phoebe,Phoebe & Mike,8
218,9,24,Ross & Rachel,Ross & Rachel,1
218,9,24,Ross,Ross & Charlie,1
218,9,24,Rachel & Joey,Rachel & Joey,1
218,9,24,Monica & Chandler,Monica & Chandler,4
218,9,24,Joey,Joey & Charlie,1
218,9,24,Phoebe,Phoebe & Mike,2
219,10,1,Ross & Rachel,Ross & Rachel,2
219,10,1,Ross,Ross & Charlie,3
219,10,1,Rachel & Joey,Rachel & Joey,5
219,10,1,Monica & Chandler,Monica & Chandler,5
219,10,1,Joey,Joey & Charlie,1
219,10,1,Phoebe,Phoebe & Mike,4
220,10,2,Ross & Rachel,Ross & Rachel,6
220,10,2,Ross,Ross & Charlie,2
220,10,2,Rachel & Joey,Rachel & Joey,7
220,10,2,Monica & Chandler,Monica & Chandler,4
220,10,2,Joey,Joey & Charlie,3
221,10,3,Rachel & Joey,Rachel & Joey,6
221,10,3,Monica & Chandler,Monica & Chandler,4
222,10,4,Ross & Rachel,Ross & Rachel,4
