country,iso_a3,country_name,continent,region,region_un,year,pop,gdp_pcap,life_exp,income_daily,co2_pcap,fertility
Sri Lanka,LKA,Sri Lanka,Asia,South Asia,Asia,2022,22800000,12300,77.9,8.27,1.76,1.98
Sudan,SDN,Sudan,Africa,Sub-Saharan Africa,Africa,2022,49400000,3570,70.2,3.4099999999999997,0.55,4.38
Sweden,SWE,Sweden,Europe,Europe & Central Asia,Europe,2022,10500000,54800,83.3,62.8,5.96,1.54
Switzerland,CHE,Switzerland,Europe,Europe & Central Asia,Europe,2022,8790000,71300,84.5,78.6,11.6,1.4
Syria,SYR,Syria,Asia,Middle East & North Africa,Asia,2022,22500000,3350,74.4,2.98,1.85,2.75
Taiwan,TWN,Taiwan,Asia,East Asia & Pacific,NA,2022,23400000,58700,80.9,57.2,12.5,0.8700000000000001
Tanzania,TZA,Tanzania,Africa,Sub-Saharan Africa,Africa,2022,64700000,2620,67,3.44,0.311,4.67
Thailand,THA,Thailand,Asia,East Asia & Pacific,Asia,2022,71700000,17500,79.1,17,3.92,1.22
Togo,TGO,Togo,Africa,Sub-Saharan Africa,Africa,2022,9090000,2210,65.8,4.96,0.906,4.25
Trinidad and Tobago,TTO,Trinidad and Tobago,Americas,Latin America & Caribbean,Americas,2022,1500000,23300,75.4,24.2,17.7,1.54
Tunisia,TUN,Tunisia,Africa,Middle East & North Africa,Africa,2022,12100000,10600,75.9,13.6,2.2600000000000002,1.85
Turkey,TUR,Turkey,Europe,Europe & Central Asia,Asia,2022,87100000,32900,79,26,4.95,1.6300000000000001
Uganda,UGA,Uganda,Africa,Sub-Saharan Africa,Africa,2022,47300000,2280,66.9,3.56,0.183,4.39
Uruguay,URY,Uruguay,Americas,Latin America & Caribbean,Americas,2022,3389999.9999999995,24400,78,28.4,3.21,1.43
Venezuela,VEN,Venezuela,Americas,Latin America & Caribbean,Americas,2022,28200000,6160,74,3.9499999999999997,0.6729999999999999,2.09
Vietnam,VNM,Vietnam,Asia,East Asia & Pacific,Asia,2022,99700000,11400,75,16.4,2.17,1.93
Zambia,ZMB,Zambia,Africa,Sub-Saharan Africa,Africa,2022,20200000,3310,62.2,2.92,0.42400000000000004,4.18
Zimbabwe,ZWE,Zimbabwe,Africa,Sub-Saharan Africa,Africa,2022,16100000.000000002,2210,59.1,4.38,0.804,3.77
Andorra,AND,Andorra,Europe,Europe & Central Asia,Europe,2022,79700,56400,82.7,61.6,5.91,1.07
UAE,ARE,United Arab Emirates,Asia,Middle East & North Africa,Asia,2022,10200000,74600,73.4,81.8,21.1,1.1500000000000001
Armenia,ARM,Armenia,Asia,Europe & Central Asia,Asia,2022,2880000,16000,73.7,8.79,2.7,1.72
Antigua and Barbuda,ATG,Antigua and Barbuda,Americas,Latin America & Caribbean,Americas,2022,92800,21700,76.8,21.1,5.94,1.58
Azerbaijan,AZE,Azerbaijan,Asia,Europe & Central Asia,Asia,2022,10300000,15100,71.4,20,3.84,1.6900000000000002
Bahamas,BHS,Bahamas,Americas,Latin America & Caribbean,Americas,2022,398000,33100,76.6,33.8,4.75,1.3800000000000001
Belarus,BLR,Belarus,Europe,Europe & Central Asia,Europe,2022,9170000,19100,73,19.2,6.319999999999999,1.33
Belize,BLZ,Belize,Americas,Latin America & Caribbean,Americas,2022,403000,9400,71.5,9.27,1.52,1.95
Barbados,BRB,Barbados,Americas,Latin America & Caribbean,Americas,2022,282000,15600,76.6,15.2,4.52,1.71
Brunei,BRN,Brunei,Asia,East Asia & Pacific,Asia,2022,455000,58700,74.2,61.2,24.5,1.76
Bhutan,BTN,Bhutan,Asia,South Asia,Asia,2022,781000,11400,74,15.8,1.8,1.48
Cape Verde,CPV,Cape Verde,Africa,Sub-Saharan Africa,Africa,2022,520000,7670,72.5,10.9,1.26,1.53
Cyprus,CYP,Cyprus,Europe,Europe & Central Asia,Asia,2022,1330000,43200,81.3,58.5,5.619999999999999,1.3900000000000001
Dominica,DMA,Dominica,Americas,Latin America & Caribbean,Americas,2022,66800,11500,71.8,12,2.57,1.48
Estonia,EST,Estonia,Europe,Europe & Central Asia,Europe,2022,1350000,38000,78.5,45.2,10.4,1.41
Fiji,FJI,Fiji,Oceania,East Asia & Pacific,Oceania,2022,919000,12400,68.8,7.14,2.6,2.3099999999999996
